community,community_area,population
Douglas,35,20229
Oakland,36,6398
Fuller Park,37,2530
Grand Boulevard,38,22723
Kenwood,39,17221
Lincoln Square,4,40688
Washington Park,40,12078
Hyde Park,41,26732
Woodlawn,42,24008
Rogers Park,1,54259
Jefferson Park,11,27116
Forest Glen,12,18486
North Park,13,18456
Albany Park,14,52202
Portage Park,15,64845
Irving Park,16,56465
Dunning,17,42996
Montclare,18,13001
Belmont Cragin,19,79223
West Ridge,2,72222
Hermosa,20,25625
Avondale,21,39740
Logan Square,22,73858
Humboldt Park,23,54761
West Town,24,86392
Austin,25,97778
West Garfield Park,26,17657
East Garfield Park,27,20647
Near West Side,28,61907
North Lawndale,29,35281
Uptown,3,55109
South Lawndale,30,73768
Lower West Side,31,34386
Near South Side,33,21764
Armour Square,34,14074
Norwood Park,10,36645
Near North Side,8,85777
Loop,32,33467
South Shore,43,50691
Chatham,44,31508
Avalon Park,45,9681
South Chicago,46,27974
Burnside,47,2605
Mckinley Park,59,16346
Lake View,6,96862
Calumet Heights,48,13743
Roseland,49,42578
North Center,5,34668
Pullman,50,6522
South Deering,51,15388
East Side,52,23708
West Pullman,53,27669
Riverdale,54,7028
Hegewisch,55,8860
Garfield Ridge,56,35596
Archer Heights,57,13385
Brighton Park,58,44382
Bridgeport,60,33786
New City,61,41048
West Elsdon,62,19028
Gage Park,63,41030
Clearing,64,24985
West Lawn,65,32705
Chicago Lawn,66,55542
West Englewood,67,32189
Englewood,68,26082
Greater Grand Crossing,69,32435
Lincoln Park,7,66406
Ashburn,70,42813
Auburn Gresham,71,45914
Beverly,72,20865
Washington Heights,73,26990
Mount Greenwood,74,18770
Morgan Park,75,23152
Ohare,76,14808
Edgewater,77,54665
Edison Park,9,11350
