category,fbi_code,index,type,iucr,detailed_description
Murder,01A,Index,People,0110,HOMICIDE FIRST DEGREE MURDER
Murder,01A,Index,People,0130,HOMICIDE SECOND DEGREE MURDER
Involuntary Manslaughter,01B,Non Index,People,0141,HOMICIDE INVOLUNTARY MANSLAUGHTER
Involuntary Manslaughter,01B,Non Index,People,0142,HOMICIDE RECKLESS HOMICIDE
Criminal Sexual Assault,02,Index,People,0261,CRIM SEXUAL ASSAULT AGGRAVATED: HANDGUN
Criminal Sexual Assault,02,Index,People,0262,CRIM SEXUAL ASSAULT AGGRAVATED: OTHER FIREARM
Criminal Sexual Assault,02,Index,People,0263,CRIM SEXUAL ASSAULT AGGRAVATED: KNIFE/CUT INSTR
Criminal Sexual Assault,02,Index,People,0264,CRIM SEXUAL ASSAULT AGGRAVATED: OTHER DANG WEAPON
Criminal Sexual Assault,02,Index,People,0265,CRIM SEXUAL ASSAULT AGGRAVATED: OTHER
Criminal Sexual Assault,02,Index,People,0266,CRIM SEXUAL ASSAULT PREDATORY
Criminal Sexual Assault,02,Index,People,0271,CRIM SEXUAL ASSAULT ATTEMPT AGG: HANDGUN
Criminal Sexual Assault,02,Index,People,0272,CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER FIREARM
Criminal Sexual Assault,02,Index,People,0273,CRIM SEXUAL ASSAULT ATTEMPT AGG: KNIFE/CUT INSTR
Criminal Sexual Assault,02,Index,People,0274,CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER DANG WEAPON
Criminal Sexual Assault,02,Index,People,0275,CRIM SEXUAL ASSAULT ATTEMPT AGG: OTHER
Criminal Sexual Assault,02,Index,People,0281,CRIM SEXUAL ASSAULT NON-AGGRAVATED
Criminal Sexual Assault,02,Index,People,0291,CRIM SEXUAL ASSAULT ATTEMPT NON-AGGRAVATED
Robbery,03,Index,People,0312,ROBBERY ARMED:KNIFE/CUTTING INSTRUMENT
Robbery,03,Index,People,0313,ROBBERY ARMED: OTHER DANGEROUS WEAPON
Robbery,03,Index,People,0320,ROBBERY STRONGARM - NO WEAPON
Robbery,03,Index,People,0325,ROBBERY VEHICULAR HIJACKING
Robbery,03,Index,People,0326,ROBBERY AGGRAVATED VEHICULAR HIJACKING
Robbery,03,Index,People,0330,ROBBERY AGGRAVATED
Robbery,03,Index,People,0331,ROBBERY ATTEMPT: AGGRAVATED
