community,community_area,population,category,description,total20,total19,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Lower West Side,31,34000,Theft,RETAIL THEFT,107,108,40,44,46,136,97,4,99,279,93,-10.2,-8.3,2.1,6,317.6,314.7,117.6,129.4,135.3,400,285.3,291.2,273.5
Near South Side,33,29000,Theft,RETAIL THEFT,38,38,23,64,30,33,21,1,21,84,28,-44.7,-44.7,0,-25,131,131,79.3,220.7,103.4,113.8,72.4,72.4,96.6
Armour Square,34,14000,Theft,RETAIL THEFT,32,33,14,18,57,52,40,1,39,149,49.7,21.2,18.2,-2.5,-22,235.7,228.6,100,128.6,407.1,371.4,285.7,278.6,355
Norwood Park,10,38000,Theft,RETAIL THEFT,21,25,34,26,29,42,55,0,54,126,42,120,116,-1.8,29,65.8,55.3,89.5,68.4,76.3,110.5,144.7,142.1,110.5
Near North Side,8,105000,Theft,RETAIL THEFT,724,1473,894,1407,1495,1489,1796,61,1801,4780,1593.3,21.9,22.3,0.3,13,1402.9,689.5,851.4,1340,1423.8,1418.1,1710.5,1715.2,1517.4
Loop,32,42000,Theft,RETAIL THEFT,661,1635,815,1114,1343,1348,1315,31,1313,4006,1335.3,-19.6,-19.7,-0.2,-2,3892.9,1573.8,1940.5,2652.4,3197.6,3209.5,3131,3126.2,3179.3
South Shore,43,54000,Theft,RETAIL THEFT,112,136,52,56,43,86,122,5,120,251,83.7,-10.3,-11.8,-1.6,43,251.9,207.4,96.3,103.7,79.6,159.3,225.9,222.2,155
Chatham,44,32000,Theft,RETAIL THEFT,138,339,125,168,118,164,285,1,276,567,189,-15.9,-18.6,-3.2,46,1059.4,431.3,390.6,525,368.8,512.5,890.6,862.5,590.6
Avalon Park,45,9000,Theft,RETAIL THEFT,13,12,10,15,13,43,13,1,13,69,23,8.3,8.3,0,-43,133.3,144.4,111.1,166.7,144.4,477.8,144.4,144.4,255.6
South Chicago,46,27000,Theft,RETAIL THEFT,26,75,54,58,131,107,17,0,17,255,85,-77.3,-77.3,0,-80,277.8,96.3,200,214.8,485.2,396.3,63,63,314.8
Burnside,47,3000,Theft,RETAIL THEFT,0,0,0,0,0,1,0,0,0,1,0.3,NA,NA,NA,-100,0,0,0,0,0,33.3,0,0,10
Mckinley Park,59,16000,Theft,RETAIL THEFT,25,43,26,41,87,170,135,4,130,392,130.7,214,202.3,-3.7,-1,268.8,156.2,162.5,256.2,543.8,1062.5,843.8,812.5,816.9
Lake View,6,103000,Theft,RETAIL THEFT,389,463,366,565,509,774,775,16,760,2058,686,67.4,64.1,-1.9,11,449.5,377.7,355.3,548.5,494.2,751.5,752.4,737.9,666
Calumet Heights,48,13000,Theft,RETAIL THEFT,12,24,16,11,22,28,10,0,8,60,20,-58.3,-66.7,-20,-60,184.6,92.3,123.1,84.6,169.2,215.4,76.9,61.5,153.8
Roseland,49,39000,Theft,RETAIL THEFT,51,66,30,21,39,73,85,1,81,197,65.7,28.8,22.7,-4.7,23,169.2,130.8,76.9,53.8,100,187.2,217.9,207.7,168.5
North Center,5,35000,Theft,RETAIL THEFT,66,86,58,62,51,37,28,0,28,116,38.7,-67.4,-67.4,0,-28,245.7,188.6,165.7,177.1,145.7,105.7,80,80,110.6
Pullman,50,7000,Theft,RETAIL THEFT,39,93,17,19,33,129,89,3,89,251,83.7,-4.3,-4.3,0,6,1328.6,557.1,242.9,271.4,471.4,1842.9,1271.4,1271.4,1195.7
South Deering,51,14000,Theft,RETAIL THEFT,57,158,28,29,45,85,93,2,91,223,74.3,-41.1,-42.4,-2.2,22,1128.6,407.1,200,207.1,321.4,607.1,664.3,650,530.7
East Side,52,22000,Theft,RETAIL THEFT,22,20,9,20,46,44,35,0,32,125,41.7,75,60,-8.6,-23,90.9,100,40.9,90.9,209.1,200,159.1,145.5,189.5
West Pullman,53,26000,Theft,RETAIL THEFT,23,33,29,10,32,21,17,0,17,70,23.3,-48.5,-48.5,0,-27,126.9,88.5,111.5,38.5,123.1,80.8,65.4,65.4,89.6
