community,community_area,population,category,total23,total24,total25,total22,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Near South Side,33,29000,Theft Over $500,271,270,189,273,110,157,114,142,161,730,243.3,20.4,2.5,-14.8,-34,541.4,393.1,489.7,941.4,934.5,931,651.7,555.2,839
Armour Square,34,14000,Theft Over $500,89,74,68,112,65,119,52,54,85,231,77,-42.9,-28.6,25,10,850,371.4,385.7,800,635.7,528.6,485.7,607.1,550
Norwood Park,10,38000,Theft Over $500,173,143,67,172,39,79,78,88,54,383,127.7,-15.2,-31.6,-19.4,-58,207.9,205.3,231.6,452.6,455.3,376.3,176.3,142.1,336.1
Near North Side,8,105000,Theft Over $500,1064,1150,1084,1083,716,1071,567,699,1001,3298,1099.3,1.2,-6.5,-7.7,-9,1020,540,665.7,1031.4,1013.3,1095.2,1032.4,953.3,1047
Loop,32,42000,Theft Over $500,750,829,658,809,419,866,365,447,620,2237,745.7,-24,-28.4,-5.8,-17,2061.9,869,1064.3,1926.2,1785.7,1973.8,1566.7,1476.2,1775.5
South Shore,43,54000,Theft Over $500,456,444,298,441,210,354,264,340,292,1198,399.3,-15.8,-17.5,-2,-27,655.6,488.9,629.6,816.7,844.4,822.2,551.9,540.7,739.4
Chatham,44,32000,Theft Over $500,374,301,265,289,188,279,215,254,269,940,313.3,-5,-3.6,1.5,-14,871.9,671.9,793.8,903.1,1168.8,940.6,828.1,840.6,979.1
Avalon Park,45,9000,Theft Over $500,65,78,51,93,36,59,48,52,48,194,64.7,-13.6,-18.6,-5.9,-26,655.6,533.3,577.8,1033.3,722.2,866.7,566.7,533.3,718.9
South Chicago,46,27000,Theft Over $500,216,217,124,236,85,124,124,151,117,557,185.7,0,-5.6,-5.6,-37,459.3,459.3,559.3,874.1,800,803.7,459.3,433.3,687.8
Burnside,47,3000,Theft Over $500,13,11,18,32,10,11,14,12,14,42,14,63.6,27.3,-22.2,0,366.7,466.7,400,1066.7,433.3,366.7,600,466.7,466.7
Mckinley Park,59,16000,Theft Over $500,72,71,48,71,32,65,40,50,39,191,63.7,-26.2,-40,-18.8,-39,406.2,250,312.5,443.7,450,443.7,300,243.8,398.1
Lake View,6,103000,Theft Over $500,851,775,648,727,452,504,351,458,611,2274,758,28.6,21.2,-5.7,-19,489.3,340.8,444.7,705.8,826.2,752.4,629.1,593.2,735.9
Calumet Heights,48,13000,Theft Over $500,99,76,85,98,47,73,58,63,65,260,86.7,16.4,-11,-23.5,-25,561.5,446.2,484.6,753.8,761.5,584.6,653.8,500,666.9
Roseland,49,39000,Theft Over $500,311,284,227,323,130,277,215,216,195,822,274,-18.1,-29.6,-14.1,-29,710.3,551.3,553.8,828.2,797.4,728.2,582.1,500,702.6
North Center,5,35000,Theft Over $500,240,177,132,226,90,105,80,96,128,549,183,25.7,21.9,-3,-30,300,228.6,274.3,645.7,685.7,505.7,377.1,365.7,522.9
Pullman,50,7000,Theft Over $500,61,50,51,57,30,36,24,55,43,162,54,41.7,19.4,-15.7,-20,514.3,342.9,785.7,814.3,871.4,714.3,728.6,614.3,771.4
South Deering,51,14000,Theft Over $500,136,115,105,112,62,93,89,75,91,356,118.7,12.9,-2.2,-13.3,-23,664.3,635.7,535.7,800,971.4,821.4,750,650,847.9
East Side,52,22000,Theft Over $500,104,59,46,78,27,33,30,47,40,209,69.7,39.4,21.2,-13,-43,150,136.4,213.6,354.5,472.7,268.2,209.1,181.8,316.8
West Pullman,53,26000,Theft Over $500,211,203,149,173,76,156,125,144,117,563,187.7,-4.5,-25,-21.5,-38,600,480.8,553.8,665.4,811.5,780.8,573.1,450,721.9
Riverdale,54,7000,Theft Over $500,55,55,41,48,28,32,24,57,38,151,50.3,28.1,18.8,-7.3,-24,457.1,342.9,814.3,685.7,785.7,785.7,585.7,542.9,718.6
Hegewisch,55,10000,Theft Over $500,45,64,33,48,13,25,27,37,17,142,47.3,32,-32,-48.5,-64,250,270,370,480,450,640,330,170,473
Garfield Ridge,56,35000,Theft Over $500,250,155,128,227,63,103,72,140,101,533,177.7,24.3,-1.9,-21.1,-43,294.3,205.7,400,648.6,714.3,442.9,365.7,288.6,507.7
Archer Heights,57,14000,Theft Over $500,77,74,52,87,30,56,40,42,45,203,67.7,-7.1,-19.6,-13.5,-34,400,285.7,300,621.4,550,528.6,371.4,321.4,483.6
Brighton Park,58,45000,Theft Over $500,131,119,97,144,60,85,81,85,84,347,115.7,14.1,-1.2,-13.4,-27,188.9,180,188.9,320,291.1,264.4,215.6,186.7,257.1
Bridgeport,60,34000,Theft Over $500,116,125,108,172,79,93,88,82,110,349,116.3,16.1,18.3,1.9,-5,273.5,258.8,241.2,505.9,341.2,367.6,317.6,323.5,342.1
New City,61,44000,Theft Over $500,225,187,149,226,88,190,127,145,143,561,187,-21.6,-24.7,-4,-24,431.8,288.6,329.5,513.6,511.4,425,338.6,325,425
West Elsdon,62,18000,Theft Over $500,90,66,62,59,22,49,45,42,40,218,72.7,26.5,-18.4,-35.5,-45,272.2,250,233.3,327.8,500,366.7,344.4,222.2,403.9
Gage Park,63,40000,Theft Over $500,126,104,62,145,55,103,77,102,73,292,97.3,-39.8,-29.1,17.7,-25,257.5,192.5,255,362.5,315,260,155,182.5,243.2
Clearing,64,24000,Theft Over $500,134,82,58,110,30,43,49,73,50,274,91.3,34.9,16.3,-13.8,-45,179.2,204.2,304.2,458.3,558.3,341.7,241.7,208.3,380.4
West Lawn,65,34000,Theft Over $500,151,119,83,160,37,84,65,74,59,353,117.7,-1.2,-29.8,-28.9,-50,247.1,191.2,217.6,470.6,444.1,350,244.1,173.5,346.2
Chicago Lawn,66,56000,Theft Over $500,292,232,146,293,124,265,217,197,168,670,223.3,-44.9,-36.6,15.1,-25,473.2,387.5,351.8,523.2,521.4,414.3,260.7,300,398.8
West Englewood,67,30000,Theft Over $500,218,193,168,236,113,241,172,215,170,579,193,-30.3,-29.5,1.2,-12,803.3,573.3,716.7,786.7,726.7,643.3,560,566.7,643.3
Englewood,68,24000,Theft Over $500,236,222,199,225,103,209,169,169,161,657,219,-4.8,-23,-19.1,-26,870.8,704.2,704.2,937.5,983.3,925,829.2,670.8,912.5
