community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Near South Side,33,29000,Aggravated Battery,26,28,52,56,50,49,43,6,47,142,47.3,65.4,80.8,9.3,-1,89.7,96.6,179.3,193.1,172.4,169,148.3,162.1,163.1
Armour Square,34,14000,Aggravated Battery,24,30,31,37,29,37,45,3,48,111,37,87.5,100,6.7,30,171.4,214.3,221.4,264.3,207.1,264.3,321.4,342.9,264.3
Norwood Park,10,38000,Aggravated Battery,9,6,18,10,17,19,9,2,10,45,15,0,11.1,11.1,-33,23.7,15.8,47.4,26.3,44.7,50,23.7,26.3,39.5
Near North Side,8,105000,Aggravated Battery,178,123,145,146,168,167,136,3,138,471,157,-23.6,-22.5,1.5,-12,169.5,117.1,138.1,139,160,159,129.5,131.4,149.5
Loop,32,42000,Aggravated Battery,105,102,129,130,128,137,135,5,137,400,133.3,28.6,30.5,1.5,3,250,242.9,307.1,309.5,304.8,326.2,321.4,326.2,317.4
South Shore,43,54000,Aggravated Battery,409,420,482,437,433,433,456,18,456,1322,440.7,11.5,11.5,0,3,757.4,777.8,892.6,809.3,801.9,801.9,844.4,844.4,816.1
Chatham,44,32000,Aggravated Battery,247,241,240,220,242,239,187,15,196,668,222.7,-24.3,-20.6,4.8,-12,771.9,753.1,750,687.5,756.2,746.9,584.4,612.5,695.9
Avalon Park,45,9000,Aggravated Battery,51,31,61,47,51,46,45,1,45,142,47.3,-11.8,-11.8,0,-5,566.7,344.4,677.8,522.2,566.7,511.1,500,500,525.6
South Chicago,46,27000,Aggravated Battery,186,172,212,212,216,213,193,8,192,622,207.3,3.8,3.2,-0.5,-7,688.9,637,785.2,785.2,800,788.9,714.8,711.1,767.8
Burnside,47,3000,Aggravated Battery,18,23,26,17,14,11,12,0,11,37,12.3,-33.3,-38.9,-8.3,-11,600,766.7,866.7,566.7,466.7,366.7,400,366.7,410
Mckinley Park,59,16000,Aggravated Battery,17,17,28,24,34,23,22,1,22,79,26.3,29.4,29.4,0,-16,106.3,106.3,175,150,212.5,143.8,137.5,137.5,164.4
Lake View,6,103000,Aggravated Battery,82,51,73,78,85,110,86,1,85,281,93.7,4.9,3.7,-1.2,-9,79.6,49.5,70.9,75.7,82.5,106.8,83.5,82.5,91
Calumet Heights,48,13000,Aggravated Battery,42,52,62,41,41,60,44,3,44,145,48.3,4.8,4.8,0,-9,323.1,400,476.9,315.4,315.4,461.5,338.5,338.5,371.5
Roseland,49,39000,Aggravated Battery,272,284,273,241,264,213,194,5,191,671,223.7,-28.7,-29.8,-1.5,-15,697.4,728.2,700,617.9,676.9,546.2,497.4,489.7,573.6
North Center,5,35000,Aggravated Battery,7,13,11,13,14,22,19,0,19,55,18.3,171.4,171.4,0,4,20,37.1,31.4,37.1,40,62.9,54.3,54.3,52.3
Pullman,50,7000,Aggravated Battery,33,38,33,25,29,33,30,1,30,92,30.7,-9.1,-9.1,0,-2,471.4,542.9,471.4,357.1,414.3,471.4,428.6,428.6,438.6
South Deering,51,14000,Aggravated Battery,65,80,81,74,75,91,67,1,64,233,77.7,3.1,-1.5,-4.5,-18,464.3,571.4,578.6,528.6,535.7,650,478.6,457.1,555
East Side,52,22000,Aggravated Battery,34,38,45,36,42,48,60,1,59,150,50,76.5,73.5,-1.7,18,154.5,172.7,204.5,163.6,190.9,218.2,272.7,268.2,227.3
West Pullman,53,26000,Aggravated Battery,193,188,205,138,156,152,102,3,99,410,136.7,-47.2,-48.7,-2.9,-28,742.3,723.1,788.5,530.8,600,584.6,392.3,380.8,525.8
Riverdale,54,7000,Aggravated Battery,64,45,61,55,66,67,47,1,46,180,60,-26.6,-28.1,-2.1,-23,914.3,642.9,871.4,785.7,942.9,957.1,671.4,657.1,857.1
Hegewisch,55,10000,Aggravated Battery,10,16,19,22,25,28,27,0,25,80,26.7,170,150,-7.4,-6,100,160,190,220,250,280,270,250,267
Garfield Ridge,56,35000,Aggravated Battery,19,25,34,34,38,42,32,3,33,112,37.3,68.4,73.7,3.1,-12,54.3,71.4,97.1,97.1,108.6,120,91.4,94.3,106.6
Archer Heights,57,14000,Aggravated Battery,11,11,24,29,26,20,19,0,18,65,21.7,72.7,63.6,-5.3,-17,78.6,78.6,171.4,207.1,185.7,142.9,135.7,128.6,155
Brighton Park,58,45000,Aggravated Battery,77,69,62,65,72,67,59,2,57,198,66,-23.4,-26,-3.4,-14,171.1,153.3,137.8,144.4,160,148.9,131.1,126.7,146.7
Bridgeport,60,34000,Aggravated Battery,44,35,33,37,30,33,22,2,23,85,28.3,-50,-47.7,4.5,-19,129.4,102.9,97.1,108.8,88.2,97.1,64.7,67.6,83.2
New City,61,44000,Aggravated Battery,177,186,216,187,198,155,137,6,141,490,163.3,-22.6,-20.3,2.9,-14,402.3,422.7,490.9,425,450,352.3,311.4,320.5,371.1
West Elsdon,62,18000,Aggravated Battery,14,20,19,14,31,23,19,0,17,73,24.3,35.7,21.4,-10.5,-30,77.8,111.1,105.6,77.8,172.2,127.8,105.6,94.4,135
Gage Park,63,40000,Aggravated Battery,48,56,49,70,71,79,58,2,57,208,69.3,20.8,18.8,-1.7,-18,120,140,122.5,175,177.5,197.5,145,142.5,173.2
Clearing,64,24000,Aggravated Battery,14,11,18,15,15,24,25,0,24,64,21.3,78.6,71.4,-4,13,58.3,45.8,75,62.5,62.5,100,104.2,100,88.8
West Lawn,65,34000,Aggravated Battery,24,34,34,40,39,27,33,2,34,99,33,37.5,41.7,3,3,70.6,100,100,117.6,114.7,79.4,97.1,100,97.1
Chicago Lawn,66,56000,Aggravated Battery,182,222,212,174,208,209,191,8,193,608,202.7,4.9,6,1,-5,325,396.4,378.6,310.7,371.4,373.2,341.1,344.6,362
West Englewood,67,30000,Aggravated Battery,338,381,343,265,265,250,208,7,204,723,241,-38.5,-39.6,-1.9,-15,1126.7,1270,1143.3,883.3,883.3,833.3,693.3,680,803.3
Englewood,68,24000,Aggravated Battery,269,358,323,254,279,273,245,4,245,797,265.7,-8.9,-8.9,0,-8,1120.8,1491.7,1345.8,1058.3,1162.5,1137.5,1020.8,1020.8,1107.1
Greater Grand Crossing,69,31000,Aggravated Battery,336,308,349,271,306,303,305,11,304,914,304.7,-9.2,-9.5,-0.3,-0,1083.9,993.5,1125.8,874.2,987.1,977.4,983.9,980.6,982.9
Lincoln Park,7,70000,Aggravated Battery,43,27,36,25,46,39,31,4,30,116,38.7,-27.9,-30.2,-3.2,-22,61.4,38.6,51.4,35.7,65.7,55.7,44.3,42.9,55.3
Ashburn,70,41000,Aggravated Battery,47,54,48,47,58,55,51,3,52,164,54.7,8.5,10.6,2,-5,114.6,131.7,117.1,114.6,141.5,134.1,124.4,126.8,133.4
Auburn Gresham,71,45000,Aggravated Battery,265,269,269,247,251,253,221,9,223,725,241.7,-16.6,-15.8,0.9,-8,588.9,597.8,597.8,548.9,557.8,562.2,491.1,495.6,537.1
Beverly,72,20000,Aggravated Battery,9,12,11,13,10,12,16,1,17,38,12.7,77.8,88.9,6.2,34,45,60,55,65,50,60,80,85,63.5
Washington Heights,73,25000,Aggravated Battery,110,98,93,91,81,74,68,4,70,223,74.3,-38.2,-36.4,2.9,-6,440,392,372,364,324,296,272,280,297.2
Mount Greenwood,74,19000,Aggravated Battery,3,9,9,7,2,7,6,0,6,15,5,100,100,0,20,15.8,47.4,47.4,36.8,10.5,36.8,31.6,31.6,26.3
Morgan Park,75,21000,Aggravated Battery,53,62,52,43,45,48,48,2,48,141,47,-9.4,-9.4,0,2,252.4,295.2,247.6,204.8,214.3,228.6,228.6,228.6,223.8
Ohare,76,13000,Aggravated Battery,7,8,18,13,12,17,20,0,18,49,16.3,185.7,157.1,-10,10,53.8,61.5,138.5,100,92.3,130.8,153.8,138.5,125.4
Edgewater,77,56000,Aggravated Battery,33,42,51,42,47,59,54,2,53,160,53.3,63.6,60.6,-1.9,-1,58.9,75,91.1,75,83.9,105.4,96.4,94.6,95.2
Edison Park,9,12000,Aggravated Battery,3,2,2,7,3,2,5,0,5,10,3.3,66.7,66.7,0,52,25,16.7,16.7,58.3,25,16.7,41.7,41.7,27.5
NA,Unknown,NA,Aggravated Battery,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
