community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Armour Square,34,14000,Robbery,71,67,116,118,97,96,67,23,48,260,86.7,-5.6,-32.4,-28.4,-45,507.1,478.6,828.6,842.9,692.9,685.7,478.6,342.9,619.3
Norwood Park,10,38000,Robbery,8,19,16,23,13,15,8,7,9,36,12,0,12.5,12.5,-25,21.1,50,42.1,60.5,34.2,39.5,21.1,23.7,31.6
Near North Side,8,105000,Robbery,417,251,341,339,340,367,254,115,242,961,320.3,-39.1,-42,-4.7,-24,397.1,239,324.8,322.9,323.8,349.5,241.9,230.5,305
Loop,32,42000,Robbery,257,184,236,299,294,315,229,88,211,838,279.3,-10.9,-17.9,-7.9,-24,611.9,438.1,561.9,711.9,700,750,545.2,502.4,665
South Shore,43,54000,Robbery,293,263,300,298,337,317,232,94,200,886,295.3,-20.8,-31.7,-13.8,-32,542.6,487,555.6,551.9,624.1,587,429.6,370.4,546.9
Chatham,44,32000,Robbery,250,230,210,242,357,290,188,84,162,835,278.3,-24.8,-35.2,-13.8,-42,781.2,718.8,656.2,756.2,1115.6,906.2,587.5,506.2,869.7
Avalon Park,45,9000,Robbery,28,40,52,40,47,38,30,22,35,115,38.3,7.1,25,16.7,-9,311.1,444.4,577.8,444.4,522.2,422.2,333.3,388.9,425.6
South Chicago,46,27000,Robbery,120,95,122,132,171,140,104,55,102,415,138.3,-13.3,-15,-1.9,-26,444.4,351.9,451.9,488.9,633.3,518.5,385.2,377.8,512.2
Burnside,47,3000,Robbery,19,9,15,4,6,13,10,2,6,29,9.7,-47.4,-68.4,-40,-38,633.3,300,500,133.3,200,433.3,333.3,200,323.3
Mckinley Park,59,16000,Robbery,23,25,26,29,61,48,19,10,16,128,42.7,-17.4,-30.4,-15.8,-63,143.8,156.2,162.5,181.2,381.2,300,118.8,100,266.9
Lake View,6,103000,Robbery,159,149,214,205,199,204,157,51,116,560,186.7,-1.3,-27,-26.1,-38,154.4,144.7,207.8,199,193.2,198.1,152.4,112.6,181.3
Calumet Heights,48,13000,Robbery,40,85,93,96,107,44,24,13,22,175,58.3,-40,-45,-8.3,-62,307.7,653.8,715.4,738.5,823.1,338.5,184.6,169.2,448.5
Roseland,49,39000,Robbery,202,199,189,210,232,178,157,49,149,567,189,-22.3,-26.2,-5.1,-21,517.9,510.3,484.6,538.5,594.9,456.4,402.6,382.1,484.6
North Center,5,35000,Robbery,24,27,18,38,50,38,17,8,17,105,35,-29.2,-29.2,0,-51,68.6,77.1,51.4,108.6,142.9,108.6,48.6,48.6,100
Pullman,50,7000,Robbery,21,18,30,30,19,20,11,5,12,50,16.7,-47.6,-42.9,9.1,-28,300,257.1,428.6,428.6,271.4,285.7,157.1,171.4,238.6
South Deering,51,14000,Robbery,46,58,41,54,78,45,59,16,49,182,60.7,28.3,6.5,-16.9,-19,328.6,414.3,292.9,385.7,557.1,321.4,421.4,350,433.6
East Side,52,22000,Robbery,19,15,25,39,29,23,19,15,25,71,23.7,0,31.6,31.6,5,86.4,68.2,113.6,177.3,131.8,104.5,86.4,113.6,107.7
West Pullman,53,26000,Robbery,90,110,95,86,90,109,74,31,72,273,91,-17.8,-20,-2.7,-21,346.2,423.1,365.4,330.8,346.2,419.2,284.6,276.9,350
Riverdale,54,7000,Robbery,24,37,21,42,40,26,32,9,27,98,32.7,33.3,12.5,-15.6,-17,342.9,528.6,300,600,571.4,371.4,457.1,385.7,467.1
Hegewisch,55,10000,Robbery,11,8,11,8,10,11,13,6,10,34,11.3,18.2,-9.1,-23.1,-12,110,80,110,80,100,110,130,100,113
Garfield Ridge,56,35000,Robbery,27,40,56,24,53,44,34,4,12,131,43.7,25.9,-55.6,-64.7,-73,77.1,114.3,160,68.6,151.4,125.7,97.1,34.3,124.9
