community,community_area,population,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,5,1,6,4,4,6,7,1,6,17,5.7,40,20,-14.3,5,25,5,30,20,20,30,35,30,28.5
Oakland,36,7000,0,2,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,28.6,14.3,0,0,0,0,0,0
Fuller Park,37,3000,22,15,13,19,15,48,45,13,42,108,36,104.5,90.9,-6.7,17,733.3,500,433.3,633.3,500,1600,1500,1400,1200
Grand Boulevard,38,25000,6,4,6,7,6,7,7,1,3,20,6.7,16.7,-50,-57.1,-55,24,16,24,28,24,28,28,12,26.8
Kenwood,39,19000,1,2,1,0,0,0,0,1,1,0,0,-100,0,NA,NA,5.3,10.5,5.3,0,0,0,0,5.3,0
Lincoln Square,4,40000,3,2,1,3,2,2,6,1,4,10,3.3,100,33.3,-33.3,21,7.5,5,2.5,7.5,5,5,15,10,8.2
Washington Park,40,13000,3,3,5,13,8,3,6,3,8,17,5.7,100,166.7,33.3,40,23.1,23.1,38.5,100,61.5,23.1,46.2,61.5,43.8
Hyde Park,41,29000,0,1,2,2,2,2,3,0,2,7,2.3,NA,NA,-33.3,-13,0,3.4,6.9,6.9,6.9,6.9,10.3,6.9,7.9
Woodlawn,42,24000,3,7,5,7,6,9,4,0,4,19,6.3,33.3,33.3,0,-37,12.5,29.2,20.8,29.2,25,37.5,16.7,16.7,26.2
Rogers Park,1,55000,7,11,13,16,14,23,20,5,18,57,19,185.7,157.1,-10,-5,12.7,20,23.6,29.1,25.5,41.8,36.4,32.7,34.5
Jefferson Park,11,26000,2,3,1,5,4,1,3,2,4,8,2.7,50,100,33.3,48,7.7,11.5,3.8,19.2,15.4,3.8,11.5,15.4,10.4
Forest Glen,12,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Park,13,18000,1,1,0,1,0,2,0,0,0,2,0.7,-100,-100,NA,-100,5.6,5.6,0,5.6,0,11.1,0,0,3.9
