community,community_area,population,category,total23,total24,total25,total22,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
South Lawndale,30,71000,Motor Vehicle Theft,383,231,186,214,108,211,179,149,183,800,266.7,-11.8,-13.3,-1.6,-31,297.2,252.1,209.9,301.4,539.4,325.4,262,257.7,375.6
Lower West Side,31,34000,Motor Vehicle Theft,338,273,183,231,171,89,110,132,232,794,264.7,105.6,160.7,26.8,-12,261.8,323.5,388.2,679.4,994.1,802.9,538.2,682.4,778.5
Near South Side,33,29000,Motor Vehicle Theft,381,265,236,343,116,60,95,215,188,882,294,293.3,213.3,-20.3,-36,206.9,327.6,741.4,1182.8,1313.8,913.8,813.8,648.3,1013.8
Armour Square,34,14000,Motor Vehicle Theft,125,86,82,85,62,34,53,84,90,293,97.7,141.2,164.7,9.8,-8,242.9,378.6,600,607.1,892.9,614.3,585.7,642.9,697.9
Norwood Park,10,38000,Motor Vehicle Theft,56,71,62,52,41,43,37,24,60,189,63,44.2,39.5,-3.2,-5,113.2,97.4,63.2,136.8,147.4,186.8,163.2,157.9,165.8
Near North Side,8,105000,Motor Vehicle Theft,582,506,406,651,311,297,331,463,447,1494,498,36.7,50.5,10.1,-10,282.9,315.2,441,620,554.3,481.9,386.7,425.7,474.3
Loop,32,42000,Motor Vehicle Theft,483,509,395,467,292,137,151,271,432,1387,462.3,188.3,215.3,9.4,-7,326.2,359.5,645.2,1111.9,1150,1211.9,940.5,1028.6,1100.7
South Shore,43,54000,Motor Vehicle Theft,1314,640,643,1038,525,283,333,351,730,2597,865.7,127.2,158,13.5,-16,524.1,616.7,650,1922.2,2433.3,1185.2,1190.7,1351.9,1603.1
Chatham,44,32000,Motor Vehicle Theft,778,514,413,772,268,221,230,294,395,1705,568.3,86.9,78.7,-4.4,-30,690.6,718.8,918.8,2412.5,2431.2,1606.2,1290.6,1234.4,1775.9
Avalon Park,45,9000,Motor Vehicle Theft,183,120,104,143,77,51,88,71,102,407,135.7,103.9,100,-1.9,-25,566.7,977.8,788.9,1588.9,2033.3,1333.3,1155.6,1133.3,1507.8
South Chicago,46,27000,Motor Vehicle Theft,530,330,382,498,249,154,153,183,333,1242,414,148.1,116.2,-12.8,-20,570.4,566.7,677.8,1844.4,1963,1222.2,1414.8,1233.3,1533.3
Burnside,47,3000,Motor Vehicle Theft,49,27,24,37,17,9,14,22,20,100,33.3,166.7,122.2,-16.7,-40,300,466.7,733.3,1233.3,1633.3,900,800,666.7,1110
Mckinley Park,59,16000,Motor Vehicle Theft,103,79,57,60,54,25,30,36,70,239,79.7,128,180,22.8,-12,156.2,187.5,225,375,643.8,493.8,356.2,437.5,498.1
Lake View,6,103000,Motor Vehicle Theft,540,440,289,391,205,172,245,220,303,1269,423,68,76.2,4.8,-28,167,237.9,213.6,379.6,524.3,427.2,280.6,294.2,410.7
Calumet Heights,48,13000,Motor Vehicle Theft,252,201,185,198,109,81,84,101,165,638,212.7,128.4,103.7,-10.8,-22,623.1,646.2,776.9,1523.1,1938.5,1546.2,1423.1,1269.2,1636.2
Roseland,49,39000,Motor Vehicle Theft,803,543,461,716,253,215,258,266,398,1807,602.3,114.4,85.1,-13.7,-34,551.3,661.5,682.1,1835.9,2059,1392.3,1182.1,1020.5,1544.4
North Center,5,35000,Motor Vehicle Theft,146,129,84,99,82,48,46,37,118,359,119.7,75,145.8,40.5,-1,137.1,131.4,105.7,282.9,417.1,368.6,240,337.1,342
Pullman,50,7000,Motor Vehicle Theft,131,111,73,100,59,41,47,53,78,315,105,78,90.2,6.8,-26,585.7,671.4,757.1,1428.6,1871.4,1585.7,1042.9,1114.3,1500
South Deering,51,14000,Motor Vehicle Theft,336,197,190,193,148,58,73,86,211,723,241,227.6,263.8,11.1,-12,414.3,521.4,614.3,1378.6,2400,1407.1,1357.1,1507.1,1721.4
East Side,52,22000,Motor Vehicle Theft,141,176,203,75,105,39,46,53,158,520,173.3,420.5,305.1,-22.2,-9,177.3,209.1,240.9,340.9,640.9,800,922.7,718.2,787.7
West Pullman,53,26000,Motor Vehicle Theft,480,329,287,392,192,150,165,154,285,1096,365.3,91.3,90,-0.7,-22,576.9,634.6,592.3,1507.7,1846.2,1265.4,1103.8,1096.2,1405
Riverdale,54,7000,Motor Vehicle Theft,139,99,81,135,41,45,43,57,60,319,106.3,80,33.3,-25.9,-44,642.9,614.3,814.3,1928.6,1985.7,1414.3,1157.1,857.1,1518.6
Hegewisch,55,10000,Motor Vehicle Theft,101,99,105,54,50,14,30,21,83,305,101.7,650,492.9,-21,-18,140,300,210,540,1010,990,1050,830,1017
Garfield Ridge,56,35000,Motor Vehicle Theft,243,344,143,141,111,55,37,69,152,730,243.3,160,176.4,6.3,-38,157.1,105.7,197.1,402.9,694.3,982.9,408.6,434.3,695.1
Archer Heights,57,14000,Motor Vehicle Theft,105,113,76,78,60,42,36,44,86,294,98,81,104.8,13.2,-12,300,257.1,314.3,557.1,750,807.1,542.9,614.3,700
Brighton Park,58,45000,Motor Vehicle Theft,218,181,122,118,112,102,71,96,155,521,173.7,19.6,52,27,-11,226.7,157.8,213.3,262.2,484.4,402.2,271.1,344.4,386
Bridgeport,60,34000,Motor Vehicle Theft,172,145,121,111,78,36,41,49,113,438,146,236.1,213.9,-6.6,-23,105.9,120.6,144.1,326.5,505.9,426.5,355.9,332.4,429.4
New City,61,44000,Motor Vehicle Theft,406,277,232,217,164,138,152,157,215,915,305,68.1,55.8,-7.3,-30,313.6,345.5,356.8,493.2,922.7,629.5,527.3,488.6,693.2
West Elsdon,62,18000,Motor Vehicle Theft,150,104,72,70,72,38,30,37,94,326,108.7,89.5,147.4,30.6,-14,211.1,166.7,205.6,388.9,833.3,577.8,400,522.2,603.9
Gage Park,63,40000,Motor Vehicle Theft,240,212,138,152,96,77,71,88,130,590,196.7,79.2,68.8,-5.8,-34,192.5,177.5,220,380,600,530,345,325,491.8
Clearing,64,24000,Motor Vehicle Theft,153,131,92,89,83,26,35,28,114,376,125.3,253.8,338.5,23.9,-9,108.3,145.8,116.7,370.8,637.5,545.8,383.3,475,522.1
West Lawn,65,34000,Motor Vehicle Theft,278,288,163,136,139,71,51,64,187,729,243,129.6,163.4,14.7,-23,208.8,150,188.2,400,817.6,847.1,479.4,550,714.7
Chicago Lawn,66,56000,Motor Vehicle Theft,564,403,291,366,228,201,235,203,321,1258,419.3,44.8,59.7,10.3,-23,358.9,419.6,362.5,653.6,1007.1,719.6,519.6,573.2,748.8
West Englewood,67,30000,Motor Vehicle Theft,467,366,279,369,256,185,234,234,343,1112,370.7,50.8,85.4,22.9,-7,616.7,780,780,1230,1556.7,1220,930,1143.3,1235.7
Englewood,68,24000,Motor Vehicle Theft,562,464,366,424,238,192,214,205,342,1392,464,90.6,78.1,-6.6,-26,800,891.7,854.2,1766.7,2341.7,1933.3,1525,1425,1933.3
Greater Grand Crossing,69,31000,Motor Vehicle Theft,900,580,425,738,318,272,346,334,439,1905,635,56.2,61.4,3.3,-31,877.4,1116.1,1077.4,2380.6,2903.2,1871,1371,1416.1,2048.4
Lincoln Park,7,70000,Motor Vehicle Theft,347,309,210,267,200,94,111,221,283,866,288.7,123.4,201.1,34.8,-2,134.3,158.6,315.7,381.4,495.7,441.4,300,404.3,412.4
Ashburn,70,41000,Motor Vehicle Theft,396,389,225,181,159,118,90,101,229,1010,336.7,90.7,94.1,1.8,-32,287.8,219.5,246.3,441.5,965.9,948.8,548.8,558.5,821.2
Auburn Gresham,71,45000,Motor Vehicle Theft,942,586,575,564,343,255,283,331,521,2103,701,125.5,104.3,-9.4,-26,566.7,628.9,735.6,1253.3,2093.3,1302.2,1277.8,1157.8,1557.8
Beverly,72,20000,Motor Vehicle Theft,124,85,82,91,45,32,44,44,78,291,97,156.2,143.8,-4.9,-20,160,220,220,455,620,425,410,390,485
Washington Heights,73,25000,Motor Vehicle Theft,542,306,288,438,140,117,136,159,241,1136,378.7,146.2,106,-16.3,-36,468,544,636,1752,2168,1224,1152,964,1514.8
Mount Greenwood,74,19000,Motor Vehicle Theft,38,30,30,22,16,13,16,23,32,98,32.7,130.8,146.2,6.7,-2,68.4,84.2,121.1,115.8,200,157.9,157.9,168.4,172.1
Morgan Park,75,21000,Motor Vehicle Theft,242,187,109,177,111,61,77,79,148,538,179.3,78.7,142.6,35.8,-17,290.5,366.7,376.2,842.9,1152.4,890.5,519,704.8,853.8
Ohare,76,13000,Motor Vehicle Theft,137,120,87,124,35,89,79,64,63,344,114.7,-2.2,-29.2,-27.6,-45,684.6,607.7,492.3,953.8,1053.8,923.1,669.2,484.6,882.3
Edgewater,77,56000,Motor Vehicle Theft,294,247,149,186,94,56,63,84,131,690,230,166.1,133.9,-12.1,-43,100,112.5,150,332.1,525,441.1,266.1,233.9,410.7
Edison Park,9,12000,Motor Vehicle Theft,11,14,10,13,5,11,9,6,9,35,11.7,-9.1,-18.2,-10,-23,91.7,75,50,108.3,91.7,116.7,83.3,75,97.5
NA,0,NA,Motor Vehicle Theft,0,0,1,1,0,0,0,0,0,1,0.3,NA,NA,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Unknown,NA,Motor Vehicle Theft,4,4,0,2,0,0,0,0,0,8,2.7,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA
