ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13729075,JJ122277,01/21/2025 10:58:00 AM,056XX W ROOSEVELT RD,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,false,false,1513,015,29,25,26,1139006,1894121,2025,01/29/2025 03:41:33 PM,41.865584176,-87.765180641,POINT (-87.765180641 41.865584176)
13726536,JJ122233,01/21/2025 10:57:00 AM,048XX N LINCOLN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2031,020,47,4,06,1159566,1931867,2025,01/29/2025 03:41:33 PM,41.968763818,-87.688661831,POINT (-87.688661831 41.968763818)
13727865,JJ123375,01/21/2025 10:55:00 AM,011XX S Homan Ave,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1133,011,24,29,06,1153872,1894978,2025,01/29/2025 03:41:33 PM,41.867652932,-87.710583536,POINT (-87.710583536 41.867652932)
13727088,JJ122251,01/21/2025 10:54:00 AM,012XX W 79TH ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,0612,006,17,71,08A,1169539,1852401,2025,01/29/2025 03:41:33 PM,41.750490827,-87.654302474,POINT (-87.654302474 41.750490827)
13726473,JJ122226,01/21/2025 10:50:00 AM,046XX S HALSTED ST,0560,ASSAULT,SIMPLE,DEPARTMENT STORE,false,false,0925,009,15,61,08A,1171752,1873966,2025,01/29/2025 03:41:33 PM,41.809619473,-87.645560971,POINT (-87.645560971 41.809619473)
13726722,JJ122247,01/21/2025 10:45:00 AM,061XX S KIMBARK AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,false,false,0314,003,20,42,04A,1185698,1864503,2025,01/29/2025 03:41:33 PM,41.783334618,-87.594708112,POINT (-87.594708112 41.783334618)
13726541,JJ122217,01/21/2025 10:42:00 AM,044XX W IOWA ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1111,011,37,23,08A,1146633,1905630,2025,01/29/2025 03:41:33 PM,41.897024285,-87.736887579,POINT (-87.736887579 41.897024285)
13726612,JJ122240,01/21/2025 10:35:00 AM,067XX N FAIRFIELD AVE,0560,ASSAULT,SIMPLE,RESIDENCE,true,true,2412,024,50,2,08A,1156775,1944552,2025,01/29/2025 03:41:33 PM,42.003629214,-87.698578592,POINT (-87.698578592 42.003629214)
13726547,JJ122211,01/21/2025 10:33:00 AM,056XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,2515,025,30,19,06,1138562,1915397,2025,01/29/2025 03:41:33 PM,41.923976215,-87.766294416,POINT (-87.766294416 41.923976215)
13726552,JJ122219,01/21/2025 10:32:00 AM,057XX S MAY ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0712,007,16,68,05,1169630,1866818,2025,01/29/2025 03:41:33 PM,41.790050907,-87.653551445,POINT (-87.653551445 41.790050907)
13728236,JJ124325,01/21/2025 10:30:00 AM,070XX N SHERIDAN RD,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2423,024,49,1,07,1166629,1946844,2025,01/29/2025 03:41:33 PM,42.009712308,-87.662259955,POINT (-87.662259955 42.009712308)
13726532,JJ122216,01/21/2025 10:27:00 AM,008XX N DEARBORN ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,false,true,1832,018,42,8,04A,1175793,1905850,2025,01/29/2025 03:41:33 PM,41.897021755,-87.629781141,POINT (-87.629781141 41.897021755)
13726543,JJ122196,01/21/2025 10:22:00 AM,006XX S WASHTENAW AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,ALLEY,false,false,1135,011,28,27,04B,1158469,1897176,2025,01/29/2025 03:41:33 PM,41.873591709,-87.69364699,POINT (-87.69364699 41.873591709)
13726511,JJ122191,01/21/2025 10:18:00 AM,069XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,true,false,0734,007,17,67,14,1166876,1858782,2025,01/29/2025 03:41:33 PM,41.768058417,-87.663878988,POINT (-87.663878988 41.768058417)
13726555,JJ122222,01/21/2025 10:15:00 AM,058XX S WENTWORTH AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,GAS STATION,false,false,0232,002,20,68,06,1175970,1866103,2025,01/29/2025 03:41:33 PM,41.78794896,-87.630325986,POINT (-87.630325986 41.78794896)
13727181,JJ122228,01/21/2025 10:13:00 AM,013XX E HYDE PARK BLVD,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,false,false,0222,002,4,39,02,1186235,1871461,2025,01/29/2025 03:41:33 PM,41.802415236,-87.592519489,POINT (-87.592519489 41.802415236)
13726958,JJ122353,01/21/2025 10:11:00 AM,027XX N Clark St,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1935,019,43,7,06,1171615,1918633,2025,01/29/2025 03:41:33 PM,41.932191946,-87.64474923,POINT (-87.64474923 41.932191946)
13726625,JJ122246,01/21/2025 10:06:00 AM,079XX S DAMEN AVE,0560,ASSAULT,SIMPLE,RESTAURANT,false,false,0611,006,17,71,08A,1164404,1852184,2025,01/29/2025 03:41:33 PM,41.750005014,-87.673125651,POINT (-87.673125651 41.750005014)
13726680,JJ122207,01/21/2025 10:06:00 AM,031XX W ROOSEVELT RD,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,SIDEWALK,false,false,1134,011,24,29,08B,1155802,1894546,2025,01/29/2025 03:41:33 PM,41.866428839,-87.703509785,POINT (-87.703509785 41.866428839)
13726445,JJ122177,01/21/2025 10:05:00 AM,063XX S KEDZIE AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,0823,008,14,66,08A,1156143,1862448,2025,01/29/2025 03:41:33 PM,41.778340981,-87.703122242,POINT (-87.703122242 41.778340981)
13726935,JJ122722,01/21/2025 10:00:00 AM,031XX W DEVON AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SMALL RETAIL STORE,false,false,2412,024,50,2,11,1154436,1942274,2025,01/29/2025 03:41:33 PM,41.997425544,-87.707245033,POINT (-87.707245033 41.997425544)
13726922,JJ122802,01/21/2025 10:00:00 AM,023XX N AUSTIN AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,2512,025,36,19,08B,1136013,1914889,2025,01/29/2025 03:41:33 PM,41.922628077,-87.775672745,POINT (-87.775672745 41.922628077)
13727407,JJ122225,01/21/2025 10:00:00 AM,035XX W 84TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0834,008,18,70,08A,1154203,1848655,2025,01/29/2025 03:41:33 PM,41.74052956,-87.7106005,POINT (-87.7106005 41.74052956)
13726853,JJ122762,01/21/2025 10:00:00 AM,085XX S PARNELL AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,0622,006,21,71,07,1174120,1848226,2025,01/29/2025 03:41:33 PM,41.738933657,-87.637639295,POINT (-87.637639295 41.738933657)
13726773,JJ122631,01/21/2025 10:00:00 AM,026XX W 25TH PL,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1034,010,25,30,06,1159238,1886990,2025,01/29/2025 03:41:33 PM,41.845624517,-87.691103339,POINT (-87.691103339 41.845624517)
13727432,JJ123315,01/21/2025 10:00:00 AM,047XX N MALDEN ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,1913,019,46,3,08B,1166613,1931589,2025,01/29/2025 03:41:33 PM,41.967852547,-87.662758305,POINT (-87.662758305 41.967852547)
13726661,JJ122398,01/21/2025 10:00:00 AM,060XX S THROOP ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,SCHOOL - PRIVATE GROUNDS,false,false,0713,007,16,67,26,1168691,1864782,2025,01/29/2025 03:41:33 PM,41.784484203,-87.657053213,POINT (-87.657053213 41.784484203)
13726580,JJ122184,01/21/2025 10:00:00 AM,038XX S PRINCETON AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0915,009,3,34,08A,1174915,1879576,2025,01/29/2025 03:41:33 PM,41.824943777,-87.633792146,POINT (-87.633792146 41.824943777)
13727408,JJ123313,01/21/2025 10:00:00 AM,088XX S WABASH AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,false,false,0632,006,6,44,06,1178255,1846462,2025,01/29/2025 03:41:33 PM,41.734000297,-87.622542918,POINT (-87.622542918 41.734000297)
13726624,JJ122264,01/21/2025 09:57:00 AM,046XX W BARRY AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,2521,025,31,19,08B,1144679,1920201,2025,01/29/2025 03:41:33 PM,41.937045655,-87.743696461,POINT (-87.743696461 41.937045655)
13726589,JJ122185,01/21/2025 09:57:00 AM,109XX S DOTY AVE E,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0513,005,10,51,06,1185667,1832643,2025,01/29/2025 03:41:33 PM,41.695908161,-87.595822806,POINT (-87.595822806 41.695908161)
13727189,JJ122174,01/21/2025 09:50:00 AM,027XX W SUMMERDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2011,020,40,4,07,1157107,1935421,2025,01/29/2025 03:41:33 PM,41.978566594,-87.697606541,POINT (-87.697606541 41.978566594)
13726629,JJ122165,01/21/2025 09:49:00 AM,084XX S PARNELL AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,CHA PARKING LOT / GROUNDS,false,false,0622,006,21,71,07,1174103,1848819,2025,01/29/2025 03:41:33 PM,41.740561303,-87.637684017,POINT (-87.637684017 41.740561303)
13726518,JJ122163,01/21/2025 09:40:00 AM,019XX E 95TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0413,004,8,51,07,1190646,1842357,2025,01/29/2025 03:41:33 PM,41.722445994,-87.577280883,POINT (-87.577280883 41.722445994)
13726455,JJ122151,01/21/2025 09:30:00 AM,029XX S LOCK ST,0460,BATTERY,SIMPLE,STREET,false,false,0913,009,11,60,08B,1167368,1885076,2025,01/29/2025 03:41:33 PM,41.84020161,-87.661322019,POINT (-87.661322019 41.84020161)
13726482,JJ122237,01/21/2025 09:30:00 AM,003XX W ERIE ST,0810,THEFT,OVER $500,RESTAURANT,false,false,1831,018,42,8,06,1174072,1904721,2025,01/29/2025 03:41:33 PM,41.89396227,-87.636135749,POINT (-87.636135749 41.89396227)
13729641,JJ125290,01/21/2025 09:27:00 AM,014XX S Blue Island Ave,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1233,012,25,28,06,1168333,1893062,2025,01/29/2025 03:41:33 PM,41.862095128,-87.657550249,POINT (-87.657550249 41.862095128)
13728326,JJ124414,01/21/2025 09:00:00 AM,072XX S CRANDON AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,APARTMENT,false,false,0333,003,5,43,11,1192799,1857442,2025,01/29/2025 03:41:33 PM,41.763788387,-87.568904029,POINT (-87.568904029 41.763788387)
13726477,JJ122128,01/21/2025 09:00:00 AM,015XX W FARWELL AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2431,024,49,1,06,1164937,1945712,2025,01/29/2025 03:41:33 PM,42.006642305,-87.668517697,POINT (-87.668517697 42.006642305)
13727074,JJ122873,01/21/2025 09:00:00 AM,0000X E IDA B WELLS DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,false,true,0113,001,4,32,08B,1176730,1898080,2025,01/29/2025 03:41:33 PM,41.875679322,-87.62657476,POINT (-87.62657476 41.875679322)
13727053,JJ122465,01/21/2025 09:00:00 AM,020XX W 95TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2221,022,19,72,07,1164271,1841634,2025,01/29/2025 03:41:33 PM,41.721057,-87.673909232,POINT (-87.673909232 41.721057)
13734083,JJ131616,01/21/2025 09:00:00 AM,010XX E 132ND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0533,005,10,54,07,1185758,1818038,2025,01/31/2025 03:40:40 PM,41.655827919,-87.595947243,POINT (-87.595947243 41.655827919)
13728218,JJ124132,01/21/2025 09:00:00 AM,002XX S SACRAMENTO BLVD,0820,THEFT,$500 AND UNDER,OTHER (SPECIFY),false,false,1124,011,28,27,06,1156421,1898788,2025,01/29/2025 03:41:33 PM,41.878056836,-87.701122668,POINT (-87.701122668 41.878056836)
