ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14087357,JK120454,01/17/2026 12:00:00 AM,011XX S FRANCISCO AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1135,011,28,29,06,1157200,1894877,2026,01/24/2026 03:41:56 PM,41.867308877,-87.698368584,POINT (-87.698368584 41.867308877)
14090770,JK124671,01/17/2026 12:00:00 AM,012XX W 74TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0734,007,17,67,14,1169048,1855373,2026,01/24/2026 03:41:56 PM,41.758657012,-87.656015986,POINT (-87.656015986 41.758657012)
14089328,JK123055,01/17/2026 12:00:00 AM,012XX S CANAL ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,false,false,0124,001,28,28,11,1173314,1894672,2026,01/24/2026 03:41:56 PM,41.866404039,-87.639218102,POINT (-87.639218102 41.866404039)
14085727,JK118428,01/17/2026 12:00:00 AM,048XX S LAVERGNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0814,008,22,56,08B,1143843,1872062,2026,01/24/2026 03:41:56 PM,41.804961893,-87.747975381,POINT (-87.747975381 41.804961893)
14086106,JK118839,01/17/2026 12:00:00 AM,028XX W DIVISION ST,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,GAS STATION,false,false,1211,012,26,24,04B,1157398,1907857,2026,01/24/2026 03:41:56 PM,41.902923197,-87.697288509,POINT (-87.697288509 41.902923197)
14085812,JK118532,01/17/2026 12:00:00 AM,004XX S WELLS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0122,001,34,32,14,1174792,1898334,2026,01/24/2026 03:41:56 PM,41.876419884,-87.633682698,POINT (-87.633682698 41.876419884)
14087919,JK120443,01/17/2026 12:00:00 AM,015XX W CARROLL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1215,012,27,28,06,1166247,1902273,2026,01/24/2026 03:41:56 PM,41.887415663,-87.664944312,POINT (-87.664944312 41.887415663)
14086402,JK119013,01/17/2026 12:00:00 AM,006XX N DEARBORN ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1832,018,42,8,06,1175825,1904582,2026,01/24/2026 03:41:56 PM,41.893541578,-87.629701805,POINT (-87.629701805 41.893541578)
14086162,JK118960,01/17/2026 12:00:00 AM,033XX W 15TH ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,true,false,1021,010,24,29,18,1154193,1892511,2026,01/24/2026 03:41:56 PM,41.860876815,-87.709470899,POINT (-87.709470899 41.860876815)
14085756,JK118439,01/17/2026 12:00:00 AM,061XX S PULASKI RD,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,0813,008,13,65,08B,1150760,1863420,2026,01/24/2026 03:41:56 PM,41.781114863,-87.722831532,POINT (-87.722831532 41.781114863)
14085757,JK118455,01/16/2026 11:55:00 PM,075XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0624,006,6,69,08B,1180549,1855197,2026,01/24/2026 03:41:56 PM,41.757917833,-87.61387129,POINT (-87.61387129 41.757917833)
14085739,JK118430,01/16/2026 11:55:00 PM,039XX W WASHINGTON BLVD,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1122,011,28,26,06,1150163,1900128,2026,01/24/2026 03:41:56 PM,41.881858141,-87.724065792,POINT (-87.724065792 41.881858141)
14086034,JK118819,01/16/2026 11:50:00 PM,069XX N CLARK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2424,024,49,1,07,1163591,1945782,2026,01/24/2026 03:41:56 PM,42.006862961,-87.673467835,POINT (-87.673467835 42.006862961)
14086439,JK119290,01/16/2026 11:47:00 PM,072XX S GREEN ST,5011,OTHER OFFENSE,LICENSE VIOLATION,RESIDENCE,false,false,0733,007,17,68,26,1171888,1856898,2026,01/24/2026 03:41:56 PM,41.762779972,-87.645562915,POINT (-87.645562915 41.762779972)
14090513,JK124662,01/16/2026 11:45:00 PM,019XX W MADISON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,false,false,1223,012,27,28,11,1163655,1900042,2026,01/24/2026 03:41:56 PM,41.881348623,-87.674525788,POINT (-87.674525788 41.881348623)
14085712,JK118424,01/16/2026 11:45:00 PM,040XX W DIVERSEY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,true,false,2523,025,31,21,04A,1149074,1918313,2026,01/24/2026 03:41:56 PM,41.931780735,-87.727593069,POINT (-87.727593069 41.931780735)
14085715,JK118415,01/16/2026 11:40:00 PM,132XX S ELLIS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0533,005,10,54,15,1185533,1817885,2026,01/24/2026 03:41:56 PM,41.655413343,-87.596775312,POINT (-87.596775312 41.655413343)
14085778,JK118431,01/16/2026 11:37:00 PM,070XX S WABASH AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,true,true,0322,003,6,69,26,1177940,1858445,2026,01/24/2026 03:41:56 PM,41.766890184,-87.623334661,POINT (-87.623334661 41.766890184)
14085758,JK118421,01/16/2026 11:30:00 PM,080XX S ABERDEEN ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,0612,006,17,71,03,1170379,1851560,2026,01/24/2026 03:41:56 PM,41.748164778,-87.651248756,POINT (-87.651248756 41.748164778)
14088167,JK121479,01/16/2026 11:30:00 PM,037XX N BROADWAY,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,false,false,1925,019,46,6,11,1170406,1925185,2026,01/24/2026 03:41:56 PM,41.950197458,-87.648999894,POINT (-87.648999894 41.950197458)
14088723,JK122326,01/16/2026 11:30:00 PM,047XX W MONROE ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,false,false,1113,011,28,25,06,1144749,1899145,2026,01/24/2026 03:41:56 PM,41.879264422,-87.743970898,POINT (-87.743970898 41.879264422)
14085779,JK118405,01/16/2026 11:30:00 PM,097XX S WENTWORTH AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,true,0511,005,9,49,04B,1176663,1840318,2026,01/24/2026 03:41:56 PM,41.717176282,-87.628559502,POINT (-87.628559502 41.717176282)
14089714,JK119363,01/16/2026 11:13:00 PM,061XX S CENTRAL AVE,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,true,false,0812,008,13,64,22,1140117,1863394,2026,01/24/2026 03:41:56 PM,41.781244244,-87.761852335,POINT (-87.761852335 41.781244244)
14085787,JK118457,01/16/2026 11:03:00 PM,133XX S BUFFALO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0433,004,10,55,08B,1200097,1817092,2026,01/24/2026 03:41:56 PM,41.652883411,-87.543512335,POINT (-87.543512335 41.652883411)
