category,month,count,rollavg_3month
Robbery,2019-01-01,658,NA
Robbery,2019-02-01,497,NA
Robbery,2019-03-01,509,555
Robbery,2019-04-01,599,535
Robbery,2019-05-01,632,580
Robbery,2019-06-01,767,666
Robbery,2019-07-01,776,725
Robbery,2019-08-01,769,771
Robbery,2019-09-01,691,745
Robbery,2019-10-01,686,715
Robbery,2019-11-01,666,681
Robbery,2019-12-01,744,699
Robbery,2020-01-01,725,712
Robbery,2020-02-01,637,702
Robbery,2020-03-01,496,619
Robbery,2020-04-01,455,529
Robbery,2020-05-01,599,517
Robbery,2020-06-01,574,543
Robbery,2020-07-01,734,636
Robbery,2020-08-01,816,708
Robbery,2020-09-01,743,764
Robbery,2020-10-01,756,772
Robbery,2020-11-01,755,751
Robbery,2020-12-01,565,692
Robbery,2021-01-01,727,682
Robbery,2021-02-01,478,590
Robbery,2021-03-01,482,562
Robbery,2021-04-01,466,475
Robbery,2021-05-01,505,484
Robbery,2021-06-01,600,524
Robbery,2021-07-01,712,606
Robbery,2021-08-01,655,656
Robbery,2021-09-01,773,713
Robbery,2021-10-01,837,755
Robbery,2021-11-01,781,797
Robbery,2021-12-01,903,840
Robbery,2022-01-01,686,790
Robbery,2022-02-01,616,735
Robbery,2022-03-01,590,631
Robbery,2022-04-01,601,602
Robbery,2022-05-01,670,620
Robbery,2022-06-01,733,668
Robbery,2022-07-01,769,724
Robbery,2022-08-01,750,751
Robbery,2022-09-01,863,794
Robbery,2022-10-01,945,853
Robbery,2022-11-01,842,883
Robbery,2022-12-01,903,897
Robbery,2023-01-01,797,847
